replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp,utilization,performance
2,5,6,32,24,0.118,0.76,0.8472000000000001,76.46092195767194,17.13,24.0,0,24,1708299210.350605,0.236,1.0
1,6,4,24,56,0.376,0.754,0.15996536796536795,77.4235886243386,23.1,56.2,0,56,1708299825.576038,0.6266666666666667,0.04329004329004329
1,9,5,56,48,0.302,0.688,0.8671111111111112,78.35714417989416,15.93,48.07,0,48,1708300440.8221266,0.33555555555555555,1.0
1,9,8,48,40,0.247,0.698,0.8548888888888889,79.27183862433861,15.6,40.0,0,40,1708301056.0293765,0.27444444444444444,1.0
2,4,9,40,40,0.1915,0.868,0.1282043610547667,80.21615806878306,24.65,40.0,0,40,1708301671.2274604,0.47875,0.04056795131845842
1,5,8,40,40,0.26,0.851,0.14076470588235293,81.16815806878306,21.76,40.27,0,40,1708302286.426942,0.52,0.04595588235294117
1,6,5,40,32,0.22,0.754,0.10228736880202677,82.10482473544972,27.63,32.2,0,32,1708302901.664815,0.3666666666666667,0.036192544335866814
3,4,6,32,32,0.124,0.8036666666666666,0.0962759211653813,83.03582473544972,23.34,32.0,0,32,1708303516.8991225,0.31,0.04284490145672665
3,5,4,32,40,0.1543333333333333,0.7356666666666666,0.8617333333333334,83.9666914021164,19.68,40.0,0,40,1708304181.576992,0.3086666666666666,1.0
1,6,5,40,40,0.273,0.718,0.891,84.91219140211639,19.74,40.0,0,40,1708304796.8260884,0.45500000000000007,1.0
2,9,8,40,40,0.1375,0.759,0.8305555555555556,85.82234417989417,13.93,40.2,0,40,1708305412.020125,0.1527777777777778,1.0
3,4,6,40,40,0.146,0.815,0.09954280026542797,86.75884417989417,30.14,40.07,0,40,1708306027.234419,0.36499999999999994,0.033178500331785
2,5,4,40,40,0.179,0.733,0.8716,87.69464417989417,19.82,40.6,0,40,1708306687.6375327,0.358,1.0
1,9,7,40,32,0.207,0.738,0.8460000000000001,88.61764417989417,15.32,32.4,0,32,1708307302.841975,0.22999999999999998,1.0
2,7,5,32,32,0.157,0.7575000000000001,0.8448571428571429,89.54007275132274,16.34,32.13,0,32,1708307918.074237,0.2242857142857143,1.0
1,7,9,32,64,0.394,0.855,0.9125714285714286,90.49135846560846,15.74,64.13,0,64,1708308533.2769234,0.562857142857143,1.0
2,5,9,64,48,0.1915,0.8885,0.11239418344519014,91.42838068783068,22.35,48.13,0,48,1708309148.4900844,0.383,0.04474272930648769
