replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,utilization
1,5,4,7.53,8.0,7,9,0.485,0.547,0.20924341019563558,44.87542865079365,590.61,8.0,0,36,0.985
2,6,5,8.0,20.94,69,85,0.512,0.639,0.20633121720682254,45.71120631746032,139.57,20.93,0,27,0.9266666666666667
4,7,8,20.94,24.44,105,114,0.489,0.678,0.795858396056034,46.5635316031746,49.27,24.44,0,27,0.7730357142857143
2,4,4,24.44,10.37,68,81,0.363,0.582,0.20768371629246324,47.1178652031746,444.25,10.37,0,36,0.95375
3,8,6,10.37,36.38,110,115,0.615,0.653,0.8042172852142186,48.0716152031746,33.04,36.37,0,36,0.8843749999999999
5,7,4,36.38,36.72,58,63,0.47,0.615,0.7260667541428006,49.00590091746032,56.13,36.72,0,36,0.8357142857142857
4,4,8,36.72,4.62,27,32,0.309,0.685,0.2007187469057879,49.40865071746032,781.81,4.62,0,36,0.8143750000000001
5,4,5,4.62,1.0,33,38,0.301,0.612,0.2038120382730859,49.77581751746032,2100.8,1.0,0,36,0.87625
2,8,7,1.0,27.16,201,222,0.576,0.649,0.8011037770519791,50.70524608888889,42.02,27.15,0,27,0.8235714285714286
4,7,8,27.16,26.38,84,93,0.476,0.676,0.7969098626962796,51.59624628888889,47.6,26.37,0,27,0.7625
1,8,9,26.38,32.16,171,206,0.772,0.66,0.20245820953499416,52.36457935555556,157.16,32.15,0,45,0.8491666666666666
2,9,6,32.16,36.62,338,358,0.64,0.68,0.8027775639301987,53.306801577777776,26.7,36.61,0,36,0.8555555555555556
6,9,9,36.62,36.97,111,115,0.448,0.684,0.7914496407535646,54.15835713333333,25.42,36.98,0,36,0.6288888888888888
2,7,6,36.97,34.8,210,230,0.614,0.671,0.2069258052452459,55.1141189047619,97.55,34.82,0,36,0.9385714285714286
4,8,5,34.8,36.75,149,157,0.511,0.659,0.8009665616466879,56.04186890476191,34.95,36.75,0,36,0.819375
1,9,8,36.75,27.36,145,171,0.831,0.676,0.2042119528469323,56.99553557142857,83.72,27.36,0,27,0.8841666666666665
6,7,8,27.36,27.53,41,46,0.428,0.651,0.7955648217080691,57.88057128571428,41.75,27.53,0,27,0.7125892857142857
6,9,8,27.53,36.88,118,122,0.441,0.692,0.7938768993002359,58.75157128571429,24.97,36.87,0,36,0.6775
4,9,8,36.88,36.34,178,181,0.373,0.712,0.792614470371005,59.61246017460317,18.5,36.33,0,36,0.6522222222222221
